timestamp,elapsed,cpu_percent,cpu_cores,ram_used_gb,ram_percent,gpu_memory_allocated,gpu_memory_reserved,camera_3_fps,camera_3_latency,camera_0_fps,camera_0_latency,camera_1_fps,camera_1_latency,camera_2_fps,camera_2_latency
1776122458.3547053,0.0010085105895996094,49.4,"[33.3, 33.3, 66.7, 0.0, 50.0, 0.0, 100.0, 33.3, 83.3, 16.7, 33.3, 50.0]",6.469707489013672,87.9,0.04309892654418945,0.087890625,,,,,,,,
1776122459.5589304,1.2052335739135742,31.6,"[0.0, 16.7, 16.7, 0.0, 33.3, 0.0, 0.0, 0.0, 16.7, 16.7, 16.7, 83.3]",6.262920379638672,85.1,0.04309892654418945,0.087890625,,,,,,,,
1776122460.7616842,2.407987356185913,27.9,"[16.7, 16.7, 66.7, 0.0, 57.1, 0.0, 33.3, 0.0, 57.1, 28.6, 50.0, 33.3]",6.345405578613281,86.2,0.04309892654418945,0.087890625,,,,,,,,
1776122461.964919,3.611222267150879,37.1,"[100.0, 66.7, 71.4, 71.4, 71.4, 50.0, 66.7, 83.3, 50.0, 83.3, 83.3, 50.0]",6.419734954833984,87.2,0.04309892654418945,0.087890625,,,,,,,,
1776122463.1817646,4.828067779541016,55.4,"[0.0, 83.3, 28.6, 50.0, 14.3, 83.3, 16.7, 50.0, 83.3, 16.7, 50.0, 0.0]",6.599330902099609,89.6,0.04309892654418945,0.087890625,,,,,,,,
1776122464.384599,6.030902147293091,59.5,"[33.3, 16.7, 50.0, 0.0, 83.3, 0.0, 50.0, 0.0, 16.7, 0.0, 0.0, 33.3]",6.633796691894531,90.1,0.04309892654418945,0.087890625,,,,,,,,
1776122465.5873773,7.233680486679077,30.5,"[66.7, 0.0, 71.4, 16.7, 66.7, 0.0, 50.0, 20.0, 50.0, 33.3, 16.7, 85.7]",6.692222595214844,90.9,0.04309892654418945,0.087890625,,,,,,,,
1776122466.7903337,8.436636924743652,30.9,"[50.0, 0.0, 83.3, 14.3, 50.0, 0.0, 16.7, 0.0, 0.0, 0.0, 0.0, 33.3]",6.870273590087891,93.3,0.051691532135009766,0.08984375,,,,,,,,
1776122467.9918442,9.638147354125977,60.9,"[100.0, 33.3, 50.0, 33.3, 66.7, 66.7, 66.7, 50.0, 50.0, 50.0, 33.3, 16.7]",6.7550811767578125,91.7,0.051529884338378906,0.08984375,1.019833298761853,1.0428850889205932,0.919229035421528,1.0217071109347873,0.915551836848875,0.8913883103264703,0.8190305150721252,0.956281840801239
1776122469.194342,10.84064507484436,52.2,"[100.0, 16.7, 50.0, 0.0, 16.7, 33.3, 16.7, 16.7, 33.3, 66.7, 50.0, 50.0]",6.62298583984375,90.0,0.04306173324584961,0.08984375,2.4538026232884262,1.344440292429041,2.2693332093676823,1.2096535396575927,2.2652052683494737,0.5026423931121826,2.0192094593723726,0.5731524770910089
1776122470.3971786,12.043481826782227,32.5,"[57.1, 33.3, 16.7, 85.7, 100.0, 14.3, 16.7, 37.5, 33.3, 16.7, 16.7, 33.3]",6.503692626953125,88.3,0.04306173324584961,0.08984375,4.33157816866841,1.4552842940924302,3.601346757981752,1.245207125490362,2.8708320511121648,0.3908484527042934,2.719238707638548,0.41845091183980304
1776122471.6039898,13.250293016433716,62.7,"[71.4, 16.7, 100.0, 33.3, 66.7, 0.0, 66.7, 16.7, 66.7, 16.7, 33.3, 16.7]",6.372676849365234,86.6,0.04306173324584961,0.08984375,5.7308718302739505,1.4557093799888314,4.907415229200866,1.2068673408392705,3.5531560430042064,0.31677915187592204,3.2778381178712443,0.3409166390245611
1776122472.8077755,14.454078674316406,34.3,"[57.1, 0.0, 0.0, 85.7, 83.3, 14.3, 50.0, 0.0, 33.3, 33.3, 50.0, 16.7]",6.3895416259765625,86.8,0.04306173324584961,0.08984375,7.035600883768012,1.4592653964329692,6.019755236674711,1.148670109835538,3.907251528561442,0.2792438875164902,4.026779267158333,0.27902946633807685
1776122474.0108328,15.657135963439941,28.9,"[66.7, 14.3, 71.4, 16.7, 100.0, 14.3, 33.3, 28.6, 33.3, 16.7, 33.3, 16.7]",6.397563934326172,86.9,0.04306173324584961,0.08984375,8.199938022935244,1.4664422035217286,6.954454668295696,1.081524634361267,4.359021963880334,0.24693525701329327,4.419115184713468,0.2500066518783569
1776122475.2151086,16.861411809921265,37.0,"[70.0, 14.3, 71.4, 0.0, 100.0, 0.0, 28.6, 16.7, 42.9, 16.7, 14.3, 0.0]",6.396053314208984,86.9,0.05221748352050781,0.08984375,9.104179472947568,1.4819397603311846,7.804491785543787,1.000935547333911,4.705594156353883,0.2269619345664978,4.819526408525185,0.22670063739869653
1776122476.4183397,18.064642906188965,21.2,"[85.7, 33.3, 66.7, 0.0, 66.7, 0.0, 33.3, 33.3, 33.3, 66.7, 16.7, 16.7]",6.396583557128906,86.9,0.04306173324584961,0.08984375,9.966982789964575,1.5264392763703734,8.551594260272239,0.9016595727358109,5.15728511502564,0.20611236704156755,5.215608953311804,0.20814278502213326
1776122477.6208768,19.2671799659729,28.2,"[50.0, 57.1, 100.0, 0.0, 71.4, 0.0, 50.0, 16.7, 28.6, 16.7, 16.7, 0.0]",6.396503448486328,86.9,0.04306173324584961,0.08984375,10.750096383143296,1.5693075303255657,8.94012459451584,0.818651147272395,5.615683595490778,0.1897800187452124,5.662471589975361,0.1921175696633079
1776122478.8255744,20.471877574920654,28.4,"[50.0, 14.3, 42.9, 57.1, 28.6, 0.0, 28.6, 57.1, 28.6, 16.7, 83.3, 0.0]",6.4517822265625,87.6,0.04306173324584961,0.08984375,11.519059971998457,1.618393355057019,9.299322739133173,0.7525117037196954,5.835121896725132,0.1802862048149109,5.91571663922751,0.1834244806258405
1776122480.0275307,21.6738338470459,36.0,"[0.0, 14.3, 0.0, 100.0, 100.0, 0.0, 14.3, 28.6, 28.6, 0.0, 28.6, 28.6]",6.459728240966797,87.7,0.04306173324584961,0.08984375,12.123585091159935,1.6578551139471667,9.706085384084206,0.6931099126923759,6.081169567851413,0.17157425019974099,6.2407208438768915,0.17373374630423152
1776122481.2338252,22.880128383636475,35.5,"[37.5, 14.3, 75.0, 16.7, 28.6, 0.0, 100.0, 0.0, 42.9, 0.0, 14.3, 14.3]",6.461677551269531,87.8,0.04924154281616211,0.08984375,12.87203094714485,1.688586206147165,9.941894521162016,0.6488725503979812,6.290609088790849,0.164804535898669,6.504380068694963,0.16590903123219808
1776122482.43679,24.08309316635132,38.2,"[100.0, 0.0, 71.4, 0.0, 100.0, 0.0, 14.3, 0.0, 42.9, 0.0, 75.0, 14.3]",6.4739532470703125,87.9,0.0517420768737793,0.08984375,13.475748058508639,1.7053087909651823,10.194971851603164,0.6098838615031378,6.52512157407626,0.15905992441539524,6.806881749366041,0.15869099443609064
1776122483.6394858,25.285789012908936,36.8,"[77.8, 71.4, 28.6, 33.3, 42.9, 33.3, 75.0, 16.7, 42.9, 16.7, 57.1, 16.7]",6.496528625488281,88.2,0.05004262924194336,0.08984375,14.053181260518635,1.72048482881578,10.421478843754151,0.5744560097748379,6.676975221141567,0.15375417681301343,7.034393751503971,0.15347522197488966
1776122484.8423226,26.4886257648468,57.5,"[62.5, 0.0, 100.0, 14.3, 85.7, 0.0, 28.6, 0.0, 28.6, 16.7, 14.3, 16.7]",6.502452850341797,88.3,0.043061256408691406,0.08984375,14.490212929877451,1.7310729780345384,10.760399417748866,0.5389420130526978,6.819865756366504,0.1495092308128273,7.202690294905485,0.1490022415916125
1776122486.044675,27.690978288650513,24.3,"[87.5, 87.5, 71.4, 83.3, 85.7, 66.7, 71.4, 100.0, 85.7, 50.0, 71.4, 100.0]",6.511817932128906,88.4,0.047524452209472656,0.08984375,14.861351324891682,1.7512447937675144,11.084031200231193,0.5104057409546592,6.957869238793974,0.14604099263849946,7.349596482046381,0.14541491690803976
1776122487.247205,28.893508195877075,32.1,"[100.0, 0.0, 14.3, 16.7, 100.0, 0.0, 28.6, 0.0, 42.9, 0.0, 14.3, 16.7]",6.516017913818359,88.5,0.04947042465209961,0.08984375,15.331325686994196,1.7649275914435965,11.383095151087863,0.4824442128760577,7.061082704967404,0.14306333239485577,7.500717022192323,0.14167873684419405
1776122488.450297,30.09660029411316,21.1,"[28.6, 28.6, 42.9, 42.9, 57.1, 28.6, 42.9, 28.6, 57.1, 28.6, 14.3, 28.6]",6.5155029296875,88.5,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122489.6537952,31.300098419189453,21.1,"[42.9, 14.3, 57.1, 100.0, 50.0, 33.3, 57.1, 16.7, 71.4, 50.0, 14.3, 33.3]",6.520210266113281,88.6,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122490.856399,32.50270223617554,17.6,"[0.0, 14.3, 71.4, 0.0, 33.3, 0.0, 14.3, 0.0, 57.1, 0.0, 14.3, 16.7]",6.525856018066406,88.6,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122492.0594068,33.70570993423462,39.7,"[42.9, 12.5, 42.9, 0.0, 14.3, 0.0, 28.6, 0.0, 28.6, 0.0, 57.1, 0.0]",6.534137725830078,88.7,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122493.2621477,34.90845084190369,15.1,"[66.7, 0.0, 50.0, 16.7, 50.0, 0.0, 83.3, 0.0, 50.0, 0.0, 66.7, 28.6]",6.164073944091797,83.7,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122494.4648333,36.1111364364624,35.8,"[14.3, 66.7, 50.0, 28.6, 50.0, 28.6, 16.7, 28.6, 33.3, 14.3, 33.3, 33.3]",6.155998229980469,83.6,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122495.6682882,37.31459140777588,19.0,"[50.0, 0.0, 71.4, 0.0, 57.1, 0.0, 37.5, 0.0, 42.9, 0.0, 14.3, 16.7]",6.161399841308594,83.7,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122496.871615,38.5179181098938,55.7,"[28.6, 14.3, 85.7, 16.7, 14.3, 33.3, 55.6, 0.0, 28.6, 16.7, 14.3, 0.0]",6.161678314208984,83.7,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122498.0744689,39.72077202796936,16.7,"[33.3, 50.0, 66.7, 33.3, 50.0, 50.0, 66.7, 0.0, 66.7, 33.3, 16.7, 50.0]",6.167133331298828,83.8,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122499.2771113,40.92341446876526,36.1,"[0.0, 33.3, 16.7, 83.3, 16.7, 50.0, 16.7, 0.0, 50.0, 16.7, 16.7, 33.3]",5.783710479736328,78.6,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122500.479633,42.12593626976013,19.4,"[16.7, 16.7, 100.0, 0.0, 0.0, 0.0, 16.7, 0.0, 33.3, 0.0, 0.0, 0.0]",5.783946990966797,78.6,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122501.6822886,43.32859182357788,23.5,"[0.0, 0.0, 100.0, 0.0, 0.0, 33.3, 0.0, 0.0, 33.3, 0.0, 0.0, 0.0]",5.783638000488281,78.6,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122502.8847325,44.53103566169739,16.5,"[16.7, 33.3, 100.0, 28.6, 14.3, 14.3, 50.0, 28.6, 50.0, 28.6, 16.7, 16.7]",5.795829772949219,78.7,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122504.0867577,45.73306083679199,50.6,"[50.0, 0.0, 25.0, 100.0, 37.5, 33.3, 0.0, 42.9, 33.3, 16.7, 0.0, 42.9]",5.411216735839844,73.5,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122505.2887688,46.93507194519043,22.5,"[16.7, 0.0, 83.3, 14.3, 0.0, 0.0, 0.0, 0.0, 33.3, 0.0, 16.7, 0.0]",5.454410552978516,74.1,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122506.490872,48.1371750831604,17.9,"[16.7, 42.9, 50.0, 20.0, 83.3, 0.0, 16.7, 0.0, 33.3, 20.0, 71.4, 28.6]",5.4485626220703125,74.0,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
1776122507.6933794,49.33968257904053,13.6,"[16.7, 0.0, 50.0, 0.0, 66.7, 0.0, 16.7, 0.0, 50.0, 0.0, 16.7, 0.0]",5.455310821533203,74.1,0.04306173324584961,0.08984375,15.593423650957066,1.7712633283729227,11.64364571427665,0.46259252411978585,7.057901413138483,0.1415785989671383,7.526497529421986,0.13984407998819268
